word,valence
abeille,4.22
abonné,4.53
abricot,6.55
absent,3.42
abstrait,4.72
accordéon,5.7
acide,3.47
agneau,6.35
agréable,8.29
aide,7.08
aigle,6.53
aiguille,3.9
ail,4.22
aile,6.05
aisance,7.26
album,6.34
alcool,5.64
algébre,3.87
allégorie,5.42
alligator,4.05
allumette,5.32
ambition,7.6
ambulance,3.22
âme,7.12
amer,2.8
ami,7.94
amitié,8.38
amour,6.61
ampoule,5.06
ananas,5.7
anarchie,3.53
ancien,5.46
ancre,4.96
âne,5.3
ange,7.59
année,4.86
antenne,4.8
anxiété,1.99
appareil,5.27
aptitude,6.71
aquarium,6.6
araignée,3.3
arbre,6.45
arc,4.73
ardu,4.2
argent,6.65
arme,3.8
armée,2.79
armoire,5.14
arrosoir,4.78
art,7.19
artichaut,5.01
aspect,5.12
asperge,5.15
aspirateur,3.62
assiette,5.59
astronaute,5.87
astuce,6.66
atrocité,1.35
attention,5.73
attitude,5.73
autre,4.89
autruche,5.11
avenir,6.38
avion,6.22
avocat,3.84
bague,6.27
baguette,6.34
baignoire,6.92
bain,7.46
baisse,3.81
balai,4.38
balance,3.84
balançoire,6.7
balcon,5.58
baleine,5.84
balle,5.7
ballon,5.51
banalité,4.2
banane,6.89
banc,5.73
banque,4.52
barbe,5.16
barre,4.86
barrière,3.75
bassine,4.53
bateau,6.19
beau,7.86
bébé,6.64
bec,4.97
berceau,6.47
biberon,5.84
bibliothèque,6.0
biche,5.76
bien,7.74
bille,5.89
biscuit,7.16
blague,7.86
blanc,5.97
blé,5.34
bleu,7.0
bocal,5.03
bois,6.02
boîte,5.7
bol,4.97
bombe,2.87
bonbon,7.65
bonheur,8.39
bonhomme,6.0
bonnet,5.42
bosse,4.05
botte,5.68
bouche,6.57
boue,3.59
bouée,5.47
bougie,6.37
bouilloire,5.03
boule,5.19
bout,5.1
bouteille,5.84
bouton,3.43
bracelet,5.62
branche,5.3
bras,5.92
bravoure,7.62
brique,4.73
briquet,4.84
brosse,4.95
brouette,5.36
bruit,4.22
brun,5.7
béche,5.95
bulle,6.39
bureau,4.08
burin,4.05
bus,3.65
cacahuète,6.1
cactus,4.29
cadeau,7.86
cadenas,4.12
cafard,2.09
café,5.88
cafetière,5.41
cage,2.53
cahier,4.5
caisse,4.73
cake,6.19
calculatrice,4.38
calendrier,5.08
calme,7.32
calorie,3.27
caméra,5.75
camion,4.49
canapé,6.41
canard,5.14
canne,4.22
canon,4.78
capacité,7.19
cape,5.97
capuche,5.19
caravane,5.17
carnet,4.46
carotte,5.96
carré,5.28
carrosse,5.59
cartable,4.88
carte,6.14
cartouche,4.5
case,4.68
casque,5.3
casquette,5.18
casserole,4.65
cassette,5.19
castor,5.67
catalyse,4.54
catholique,4.61
cauchemar,2.08
ceinture,5.4
céleri,4.54
cendrier,3.27
cercle,5.47
cerf,6.46
cerfvolant,5.92
cerise,7.24
certain,6.0
cerveau,6.71
chagrin,1.9
chaîne,4.24
chaise,5.41
chaleur,7.16
chambre,7.14
chameau,5.68
champ,6.22
champignon,5.41
chance,7.76
changement,5.89
chant,6.66
chaos,2.05
chapeau,5.46
chariot,4.92
charrette,5.28
chasse,3.27
chat,6.26
châtaigne,6.18
château,6.86
chaud,7.37
chaussette,4.68
chaussure,6.92
cheminée,6.16
chemise,5.92
chemisier,6.32
chenille,4.24
cheval,6.02
cheveux,6.42
chèvre,5.31
chien,6.71
chiffre,4.68
chignon,5.19
chiot,7.34
chips,6.84
chocolat,7.68
chou,5.54
cicatrice,2.97
ciel,7.11
cigale,5.65
cigare,4.05
cigarette,3.52
cil,5.3
cintre,4.65
circuit,5.49
cirque,6.57
ciseaux,4.49
cité,4.7
citoyen,6.19
citron,4.95
citrouille,5.26
clair,6.83
classe,5.31
classeur,4.26
classique,5.18
clef,5.62
clémence,6.82
cloche,5.16
clou,4.26
clown,4.55
coccinelle,7.19
cochon,5.48
code,4.94
coeur,7.03
coffre,5.73
coin,4.5
col,4.97
colère,2.78
colle,4.86
collier,6.49
colonne,4.97
commerce,5.24
commode,4.76
compas,4.52
composition,6.38
concept,5.77
concombre,5.61
confort,7.9
conseil,6.34
conte,6.92
coq,4.46
coquillage,6.5
cor,4.34
corbeille,4.11
corde,3.34
corne,4.82
costume,5.74
cou,5.59
coude,4.73
couleur,7.24
cour,5.26
courage,6.89
couronne,5.53
cours,5.18
course,5.86
court,4.57
couteau,3.74
coutume,6.06
crabe,6.24
craie,4.7
crainte,2.33
crâne,4.6
cravate,5.24
crayon,5.24
création,7.62
